username	current_location	residence	job	name	mail	blood_group	address	ssn	registration	user_id	company	station_ID
ishiimiki	(Decimal('-69.602147'), Decimal('-44.369048'))			中島 陽一	yosukefukuda@gmail.com	AB+	長崎県南房総市一ツ橋20丁目15番5号 パーク二つ室849	418-98-4813	11 May 2020	121	山崎ガス有限会社	402
bettinasanudo	(Decimal('18.4180195'), Decimal('-60.424241'))		Sales executive	Tatiana Garzoni	angelo70@gmail.com	B+	"Via Valerio, 8
39021, Coldrano (BZ)"	TRNGNN10A05A087A	07 Aug 2020	1103	Strangio, Verdone e Turati e figli	518
donna32	(Decimal('-3.709435'), Decimal('141.677164'))			Sig.ra Donna Canetta	letizia80@tiscali.it	AB-	"Rotonda Paganini, 319 Appartamento 16
86084, Vandra (IS)"	SBLGMR26S66D560V	2023/09/10	715	Cabrini, Brenna e Sbarbaro e figli	387
andrewgarrett	(Decimal('-23.346472'), Decimal('3.971801'))		Architect	Renee Jackson	brandyperez@hotmail.com	AB+	"469 Miller Dam Suite 549
New Jeffreymouth, NC 91447"	413-23-7092	08 May 2024	735	Roach PLC	663
stolzeheinz-willi				Prof. Helge Weinhold	agertz@yahoo.de	O+	"Beate-Holsten-Platz 62/75
37321 Ravensburg"	587-37-8890	2019-09-22	399	Etzler Anders GbR	170
yoshidaharuka	(Decimal('-1.4735815'), Decimal('147.836337'))			鈴木 健一	osamusato@gmail.com	O+	滋賀県八王子市北青山12丁目24番17号 花島コーポ848	783-68-4161	10/05/2022, 00:00:00	1162	合同会社山口水産	518
leo66	(Decimal('-57.041230'), Decimal('165.092512'))			Lavínia Dias	lunadas-neves@hotmail.com	A-	"Residencial Barbosa
Trevo
79431263 Oliveira / CE"	06937215886	05/02/2021, 00:00:00	1308	da Rosa Cirino - EI	385
nrocha	(Decimal('-11.600076'), Decimal('99.189061'))		Produtor de eventos	Sr. Vitor Hugo Gonçalves	pedro-miguelfonseca@gmail.com	A+	"Vale Sabrina da Luz, 4
Conjunto Califórnia Ii
98898707 Vargas / AM"	72015693416	04 Jun 2019	1694	da Mata S/A	663
harrisharold	(Decimal('29.935657'), Decimal('52.730257'))			Walter Miller	parkstiffany@hotmail.com	O+	"Unit 4645 Box 6060
DPO AP 18782"	426-40-3382	2020-09-07	889	Anderson and Sons	275
fernando84	(Decimal('55.7284295'), Decimal('-161.595905'))			Théo Cunha	eandrade@uol.com.br	AB+	"Lagoa Joaquim Melo, 54
Vila Do Pombal
41700-739 Silva / CE"	95127863464	05/11/2021, 00:00:00	323	Macedo - ME	47
alicecarvalho	(Decimal('88.205568'), Decimal('70.121349'))			Maria Helena Farias	cmelo@uol.com.br	A-	"Núcleo de Camargo, 3
Saudade
63211790 Souza de Vieira / PB"	04218539642	2022/04/01	1574	Garcia	166
cory70	(Decimal('-48.5761665'), Decimal('35.684829'))			Tyler Schwartz	davisdaniel@hotmail.com	B+	"1712 Harrison Courts Apt. 418
Campbellmouth, GU 82101"	208-43-4139	2023-08-30	1269	Moore, Gamble and Jackson	457
tiziano37	(Decimal('44.4680945'), Decimal('73.460067'))			Rosaria Sobrero	zaccardopuccio@libero.it	O+	"Incrocio Fabio, 3 Piano 1
10134, Torino (TO)"	MZZNNT73H28A004E	08/02/2024, 00:00:00	831	Mantegazza-Medici SPA	572
doriapiergiuseppe	(Decimal('-16.9573095'), Decimal('81.571280'))		Fine artist	Annetta Barracco	antonellopetrucelli@tele2.it	B+	"Incrocio Dandolo, 81
30032, Fiesso D'Artico (VE)"	BRNRLD31T59E295K	06/29/2025, 00:00:00	533	Beccaria SPA	667
matsumotokana	(Decimal('-13.7844275'), Decimal('-128.476870'))		絵本作家	森 裕樹	fukudatomoya@gmail.com	AB-	秋田県川崎市多摩区鶴ヶ丘25丁目26番4号 クレスト南郷屋085	169-71-6783	2025/05/28	2001	合同会社岡本農林	230
dfechner	(Decimal('-20.184573'), Decimal('-154.081403'))			Dariusz Benthin	nadeshda17@yahoo.de	AB-	"Silke-Hecker-Straße 82/62
54309 Kelheim"	039-76-4437	2019-05-20	1267	Kensy	289
alidavid	(Decimal('-68.2892065'), Decimal('-71.717376'))		Mechanical engineer	Julie Patterson	deanna01@hotmail.com	A-	"089 Stephanie Fall
Port Brian, VA 19975"	122-67-5496	2021/12/23	442	Stanton-Rios	75
kyosuketanaka	(Decimal('31.671224'), Decimal('122.627472'))		栄養士	渡辺 香織	satomikako@gmail.com	O+	宮崎県千代田区六番町4丁目25番19号	568-94-2439	04/15/2024, 00:00:00	405	株式会社鈴木運輸	735
lunna39	(Decimal('-59.5429475'), Decimal('121.298922'))			Kevin Ribeiro	rebecasa@ig.com.br	B+	"Praça Cardoso, 49
Satelite
86051-418 Barbosa de Ferreira / ES"	20364875135	08/26/2019, 00:00:00	1021	Caldeira	210
tbrown	(Decimal('-81.3346995'), Decimal('68.952043'))			Danny White	anguyen@hotmail.com	AB+	"21638 Emily Lodge
East Jamesfort, MN 73170"	613-08-6583	2024-06-29	1327	Burch, Carlson and Miller	618
nadeshda30	(Decimal('15.2705235'), Decimal('86.290221'))			Marjan Zobel	augustebriemer@aol.de	A-	"Madeleine-Drubin-Gasse 7
09430 Querfurt"	977-39-8311	2024-01-28	142	Mülichen Stiftung & Co. KG	671
matthew86	(Decimal('-39.7602125'), Decimal('-43.927922'))		Radio broadcast assistant	Peter Nunez	flemingkatherine@gmail.com	O+	"268 Olivia Plains
East Timothystad, KS 11290"	767-17-0275	2020-05-11	908	Miller, Bryant and Robinson	423
jeremy05	(Decimal('-43.1198225'), Decimal('-55.272162'))			Lauren Johnson	ian36@yahoo.com	O-		346-43-7441	07 Jul 2024	1959	Contreras-Brooks	205
nadia91	(Decimal('35.706978'), Decimal('-128.519274'))			Ing. Sibille Hartung	jgeisel@yahoo.de	B+		073-89-7210	2023-08-08	843	Fröhlich Stiftung & Co. KGaA	458
mmatsuda	(Decimal('-24.905512'), Decimal('-18.458574'))		電気工事士	近藤 英樹	shoheiyamada@yahoo.com	O-		393-64-1872	26 Mar 2022	1937	鈴木電気有限会社	656
qrhodes	(Decimal('-45.1551765'), Decimal('174.117031'))			Cody House	bfleming@yahoo.com	O+	"055 Pollard Squares
Sabrinashire, MD 50207"	820-08-9177	2023-11-08	1086	Harris-Patterson	725
pacomiodaniele	(Decimal('-30.708901'), Decimal('-86.760043'))		Research scientist (maths)	Costantino Regge	gsalvo@hotmail.it	B-	"Vicolo Gregorio, 0
17042, Giovo (SV)"	ZFFSNR08R62D147S	2019-05-25	1271	Leopardi-Saracino e figli	10
nedda15	(Decimal('7.475781'), Decimal('-82.259109'))			Rosa Scalera	gianvecchioelisa@gmail.com	A+	"Strada Barzini, 81
63079, Colli Del Tronto (AP)"	SSNTNI59T16D255T	07/12/2023, 00:00:00	1115	Miniati s.r.l.	302
gkato	(Decimal('86.581002'), Decimal('147.673830'))		医師	中川 里佳	maayatakahashi@hotmail.com	AB-	新潟県千代田区芝大門18丁目13番14号	045-98-4763	2023/10/06	143	田中銀行合同会社	619
lamberto69	(Decimal('29.116044'), Decimal('-139.072076'))			Pierina Spadafora-Bertolucci	malacarnedurante@poste.it	B+	"Canale Belletini, 78 Piano 7
41022, Faidello (MO)"	RTLRMN49D59D079G	2021/12/11	1964	Volterra, Vespa e Barcaccia s.r.l.	400
luigi18	(Decimal('78.154736'), Decimal('41.729623'))			Ana Sophia Nogueira	ana-ceciliafogaca@hotmail.com	A+	"Jardim Luiz Felipe Almeida, 7
Candelaria
78099-881 da Costa do Oeste / CE"	89032516442	2023/10/07	1684	Borges	243
vinicius94	(Decimal('3.258846'), Decimal('-159.800011'))		Barman	João Gabriel Freitas	levi99@uol.com.br	A-	"Lago Aparecida, 6
Teixeira Dias
14214438 Azevedo das Pedras / PE"	56809324747	2025/06/19	952	Melo Novais S/A	177
aragaoana-livia	(Decimal('-13.039293'), Decimal('-66.923792'))			Luiz Gustavo Pereira	rafael83@ig.com.br	AB+	"Conjunto Borges, 7
Canadá
87925-331 Lima de das Neves / PA"	65041782911	11/02/2018, 00:00:00	1073	Aparecida	474
pbrancaccio	(Decimal('40.0510695'), Decimal('-18.609073'))			Emma Solari	giuliettarespighi@poste.it	O-	"Viale Melina, 67
30172, Mestre (VE)"	TMMMRD77P08G480H	2022/02/12	1955	Andreotti Group	728
kranzroswitha				Ilhan Mielcarek-Gude	eebert@googlemail.com	A-	"Trudel-Mühle-Weg 16/17
22367 Bremervörde"	816-85-4302	06 Apr 2019	587	Anders Reinhardt GbR	378
correiaanthony	(Decimal('-74.069531'), Decimal('-12.254432'))			Laura Aparecida	falves@yahoo.com.br	A+	"Avenida Isabela Campos, 26
Engenho Nogueira
58195827 Porto da Praia / PR"	34695170299	2025-08-13	506	Silva	12
helenaguerra	(Decimal('37.558807'), Decimal('-45.074500'))			Augusto Abreu	isabelly04@ig.com.br	AB+	"Viaduto de Cassiano, 2
Pedreira Padro Lopes
94216181 da Paz / GO"	84975360101	2025-03-12	1732	Abreu	47
otarei	(Decimal('21.1806625'), Decimal('-24.303294'))		配管工	高橋 七夏	satomimatsuda@yahoo.com	AB-		798-25-8678	12/07/2019, 00:00:00	65	株式会社長谷川保険	191
rwerner	(Decimal('31.2421715'), Decimal('-126.872423'))			Carl White	lee06@hotmail.com	A+	"PSC 7447, Box 7245
APO AP 45613"	381-48-0911	12/25/2023, 00:00:00	857	Gonzales, Graham and Guerra	399
ileao	(Decimal('55.778563'), Decimal('26.550267'))		Roteirista	Dr. Eduardo Rios	ubarros@bol.com.br	AB+	"Lago Vicente Vieira, 75
Jardim Leblon
29128468 Mendonça / MA"	05798314260	2018/12/24	1309	Casa Grande	237
shertrampf	(Decimal('52.476093'), Decimal('-58.241763'))			Gaby Wernecke	uplath@googlemail.com	B+	"Gilda-Rose-Allee 9/2
50032 Bad Langensalza"	714-80-5130	2025/04/19	21	Fliegner Hermann GbR	288
corradoregge	(Decimal('4.334045'), Decimal('-3.387773'))		Artist	Giuliano Gagliano	hgiannini@vodafone.it	B-		RSSCHL99B45C733O	2021/05/17	113	Ammaniti, Munari e Greco Group	101
skimura	(Decimal('-25.9410325'), Decimal('11.534794'))		ゲームクリエイター	鈴木 春香	vmatsumoto@gmail.com	A-	福岡県新島村権現堂30丁目15番1号 所野アーバン422	271-85-4289	2021-04-22	1652	佐藤ガス株式会社	146
bernhardine08	(Decimal('-1.343027'), Decimal('-60.687501'))			Brigitte Adler	kunibert20@yahoo.de	AB-	"Bohlanderstraße 6/8
05413 Sondershausen"	432-88-0108	25 Dec 2021	1944	Scholl AG	220
giovanni71	(Decimal('-26.529952'), Decimal('80.341557'))			Gianna Regge-Merisi	tina94@tele2.it	O-	"Contrada Baggio, 65 Appartamento 28
47824, Poggio Berni (RN)"	TRLSNR52P22G623P	04 Feb 2023	1742	Fieramosca s.r.l.	1
wbrewer	(Decimal('-76.051230'), Decimal('-45.877913'))		Administrator, Civil Service	Grace Thomas	robertthompson@gmail.com	O-	"8800 Reed Burg Suite 802
Andreabury, VA 94465"	686-71-7914	2021-04-19	1712	Lee-Walker	599
jennifersmith	(Decimal('5.6516645'), Decimal('-116.512466'))			Kelli Williams	rcurtis@gmail.com	O+	"9527 Kristine Shores Suite 875
Markfort, AR 30820"	187-58-7054	04 Jul 2019	361	Harris, Knox and Maynard	594
icasa-grande	(Decimal('33.4118195'), Decimal('-11.482608'))			Ravi Lucca Vasconcelos	ana-cecilia47@ig.com.br	AB+	"Largo de Nunes, 9
Vila Fumec
80110309 Aparecida / RS"	39406851784	13 Nov 2022	803	Silva	23
sayuri40	(Decimal('-13.6130205'), Decimal('-65.286388'))			松本 聡太郎	miuraosamu@yahoo.com	A+	熊本県いすみ市南郷屋39丁目8番12号	740-55-7613	06/12/2025, 00:00:00	444	有限会社高橋鉱業	141
krausemarie	(Decimal('-12.3931335'), Decimal('-33.276661'))			Prof. Volkhard Mitschke	tbriemer@yahoo.de	A-	"Hedwig-Weiß-Weg 1/7
27874 Hainichen"	718-75-4156	11/11/2024, 00:00:00	273	Stadelmann AG	381
ramosbenjamin	(Decimal('-85.6373615'), Decimal('144.407395'))			Isadora Montenegro	eda-costa@yahoo.com.br	AB-	"Trecho de Cirino, 3
Pilar
35695984 Peixoto / RR"	09278635103	2020/04/26	911	Pinto	379
ysousa	(Decimal('-13.6596595'), Decimal('120.800560'))		Gandula	Heitor da Rocha	pimentaevelyn@hotmail.com	AB+	"Morro Araújo
Madri
03409571 Lima da Serra / PB"	93516478209	2024/09/20	1943	Rocha Borges Ltda.	545
joshua13	(Decimal('28.2829615'), Decimal('-101.568031'))			Amanda Klein	janetchoi@gmail.com	O-	"3251 Foley Village
Robertsside, ME 44005"	480-26-7113	07/14/2022, 00:00:00	363	Flynn-Peterson	227
cstahr	(Decimal('-13.8841125'), Decimal('84.599534'))		Drogist	Hans-Wolfgang Stadelmann	rigo61@yahoo.de	AB-	"Eduard-Gehringer-Ring 63/40
59919 Eisenberg"	817-72-6725	10 Dec 2019	262	Wulf	123
catherineolson	(Decimal('-70.177511'), Decimal('-113.809855'))			James Jones	sarahgriffin@gmail.com	A-	"Unit 5176 Box 6727
DPO AE 47774"	848-17-4378	26 Aug 2022	121	Lawson-Lewis	391
klotzerdal	(Decimal('-0.0766005'), Decimal('129.759299'))			Sylvio Rörricht	hoffmannhajo@web.de	AB+		844-76-1695	10/31/2023, 00:00:00	1910	Höfig AG	374
uazevedo	(Decimal('19.7112545'), Decimal('-90.079821'))		Repórter	Francisco da Luz	ana-julialima@bol.com.br	A+	"Vale Nunes, 61
São Vicente
28049-527 Almeida / BA"	94508716202	01/08/2024, 00:00:00	863	da Rosa	511
weinhageleonardo	(Decimal('28.8680285'), Decimal('73.862642'))			Herr Recep Geisel B.Eng.	nschwital@web.de	AB+	"Hugo-Boucsein-Allee 5
45894 Auerbach"	152-32-9124	11/15/2020, 00:00:00	999	Ullmann Sölzer KG	414
siegriedkraus	(Decimal('-88.247247'), Decimal('15.373527'))			Dipl.-Ing. Karl-Werner Klotz MBA.	hans-joergmies@yahoo.de	A-	"Kabusstr. 9581
77295 Böblingen"	917-68-1532	2024-02-20	184	Schinke	281
lpolizzi	(Decimal('30.920340'), Decimal('68.338944'))			Sig.ra Ramona Gottardi	ruggiero27@yahoo.com	O+	"Contrada Lando, 0
08035, Nurri (CA)"	PLMTRS06B28A892I	08/16/2024, 00:00:00	1004	Ariasso, Morucci e Gangemi SPA	666
ftaccola	(Decimal('-59.7237825'), Decimal('13.340082'))			Eugenia Silvestri	fagottovaleria@vodafone.it	B-	"Contrada Cavanna, 824 Appartamento 38
20823, Lentate Sul Seveso (MB)"	BLDLRA17L11H689W	2021/06/15	1909	Montalti Group	532
grisonifranco	(Decimal('87.887422'), Decimal('-96.888547'))			Nedda Gargallo	eleanoradepero@tim.it	AB+	"Vicolo Druso, 89
62024, Colferraio (MC)"	PPEVNL36S06D456V	2021/06/04	1953	Forza-Morlacchi Group	704
burkhardtkuhl	(Decimal('-43.267629'), Decimal('95.365616'))		Augenoptiker	Stefano Rosemann B.A.	christian92@hotmail.de	AB-		570-80-9370	2025/01/23	456	Werner	0
hilma54	(Decimal('84.7559695'), Decimal('-135.731520'))			Dr. Utz Mies	lorehermann@yahoo.de	A+	"Sigrid-Ditschlerin-Weg 685
53916 Karlsruhe"	675-75-4646	2023/03/31	1723	Jacobi Jäckel AG	24
ana-claracorreia	(Decimal('-40.8303005'), Decimal('-144.894931'))			Laís Castro	leandro21@ig.com.br	B+	"Estrada Igor Caldeira, 24
São Gabriel
77649-887 da Conceição Alegre / RR"	15693270416	15 Sep 2021	189	Barros S.A.	207
theo96	(Decimal('-75.854804'), Decimal('137.359049'))			Enzo Gabriel Novais	ecosta@bol.com.br	B+		60472318969	05/02/2023, 00:00:00	1513	da Paz	1
andrew00	(Decimal('-54.0177185'), Decimal('136.041507'))			Anthony Patterson	qli@gmail.com	O-	"84582 Stephanie Passage
Port Michaelfort, VT 47355"	149-92-4042	2023/06/17	783	Robertson Inc	426
reifukuda	(Decimal('-77.2543325'), Decimal('-13.455885'))			佐藤 幹	yuikimura@hotmail.com	B-	徳島県夷隅郡大多喜町麹町3丁目26番2号 ハイツ猿楽町793	654-38-4469	01/19/2022, 00:00:00	1720	有限会社岡田農林	43
ysteuer	(Decimal('-54.1154015'), Decimal('-68.995782'))			Frau Hannah Mende	sigmarmohaupt@gmail.com	A+	"Kruschwitzplatz 306
06545 Neuss"	142-74-2836	2018-10-21	1277	Dietz e.G.	78
kwilms	(Decimal('16.825885'), Decimal('-117.776060'))			Prof. Gertraud Blümel	alikusch@yahoo.de	A+		089-55-5124	28 Jun 2023	375	Schlosser	673
saunderssarah	(Decimal('28.0898585'), Decimal('78.501094'))			Michelle Zhang	glendaaguirre@hotmail.com	O+	"614 Gallagher Cliffs Apt. 045
Port Tara, OH 55652"	594-88-2251	2024-08-28	1115	Schmidt-Simmons	59
gionatafilogamo	(Decimal('-86.8141155'), Decimal('0.501312'))			Viridiana Pozzecco	pzarlino@virgilio.it	A+	"Incrocio Ludovica, 339 Appartamento 8
26100, Cava Tigozzi (CR)"	STCBRL60H70F377C	01/28/2019, 00:00:00	99	Pirelli, Caccioppoli e Falloppio s.r.l.	162
cito	(Decimal('-67.586622'), Decimal('161.309369'))		映画監督	高橋 和也	maedaharuka@gmail.com	AB+	埼玉県練馬区大京町21丁目11番18号	667-53-6582	2019/11/24	821	山口電気有限会社	224
sebastianomorucci	(Decimal('85.659856'), Decimal('-70.784776'))		Radiographer, diagnostic	Telemaco Galilei	rliguori@poste.it	A-	"Via Venier, 16
14016, Pratomorone (AT)"	CLLRSN29C12E526R	25 Sep 2018	1736	Avogadro, Zacchia e Bompiani SPA	447
ruggeroboezio	(Decimal('18.038579'), Decimal('130.180193'))			Berenice Fracci	hugo15@alice.it	AB-	"Via Laura, 576
20882, Bellusco (MB)"	PRCGRL68C16L519K	20 Jan 2021	1386	Soprano-Pincherle Group	13
joao-felipeda-mota	(Decimal('62.1291855'), Decimal('-105.990654'))			Isabel Vieira	yfonseca@bol.com.br	B-	"Vale Evelyn Rodrigues, 94
Nova Cachoeirinha
65877-730 Silva / SC"	90784316520	20 Oct 2023	624	Araújo - ME	618
yokoendo	(Decimal('-34.9513175'), Decimal('5.103364'))		寿司職人	石川 直樹	iogawa@hotmail.com	AB-		483-62-9904	2020/12/17	391	石川水産株式会社	213
marinadrubin	(Decimal('-5.5249145'), Decimal('20.939524'))			Erol Wieloch B.Sc.	lklemt@web.de	B-	"Benno-Mitschke-Ring 8-6
39361 Mittweida"	829-72-8155	04/24/2023, 00:00:00	984	Henk KGaA	289
rpedersoli	(Decimal('46.102781'), Decimal('-75.078732'))			Piergiuseppe Morricone-Forza	rembrandtcarosone@gmail.com	B-		PZZLVI86E60D216P	2019-10-22	1347	Jilani, Rensi e Ferrabosco SPA	316
daniele37	(Decimal('-81.644947'), Decimal('36.225345'))			Allegra Lucciano	vismaraclelia@yahoo.com	O+	"Piazza Monica, 463
80143, Napoli (NA)"	VLMGSN93M59L830Q	01/06/2024, 00:00:00	75	Scalera, Borroni e Vigorelli Group	203
gildaullmann	(Decimal('-85.1402945'), Decimal('-90.268957'))			Klaus Peter Kade	hhornich@gmx.de	A-	"Schottinplatz 4
94092 Schleiz"	474-06-7325	25 Feb 2021	831	Wagner Häring GbR	363
gnakajima	(Decimal('3.3033555'), Decimal('-6.456121'))		エンジニア演奏家	山田 真綾	hanako75@hotmail.com	O+		727-68-9167	2021-12-14	55	合同会社伊藤食品	6
tiziano03	(Decimal('-71.583854'), Decimal('-66.428543'))			Costantino Querini-Persico	stefano31@tele2.it	A-	"Rotonda Sommaruga, 45 Piano 7
89023, Stelletanone (RC)"	TMSGCB60A56C341V	13 Nov 2022	1620	Ruggieri-Salvini s.r.l.	153
nthies	(Decimal('-69.2846845'), Decimal('103.141146'))			Univ.Prof. Steve Wilmsen B.Eng.	pergandealeksej@hotmail.de	A-	"Börnerallee 4667
01860 Sebnitz"	247-23-5107	09/12/2019, 00:00:00	1752	Textor auch Schlauchin AG	461
rei56	(Decimal('5.606852'), Decimal('-128.118355'))			木村 晃	sotarowatanabe@hotmail.com	AB-	熊本県大島町南郷屋28丁目17番10号 平須賀クレスト147	848-79-3461	01/09/2020, 00:00:00	2123	有限会社中村電気	566
bozenabolnbach	(Decimal('3.734925'), Decimal('88.673751'))			Heinz-Gerd Adolph	jschmiedecke@yahoo.de	O-	"Reinhilde-Rust-Platz 29
85444 Burglengenfeld"	095-29-4092	09/21/2021, 00:00:00	59	Butte e.G.	568
brayan46	(Decimal('-31.210471'), Decimal('127.622019'))			Dra. Emanuelly Nascimento	maria-luisa01@ig.com.br	B-	"Avenida de Sales, 24
Castelo
77768202 Barbosa / AM"	40975218379	04/06/2023, 00:00:00	76	Gonçalves Nogueira e Filhos	170
naoko86	(Decimal('14.9364435'), Decimal('-105.947198'))			石井 七夏	naokinakajima@hotmail.com	O+	富山県横浜市緑区橋場26丁目10番19号 一ツ橋アーバン546	850-98-8078	2020/09/12	1941	渡辺情報株式会社	678
mcneilmichael	(Decimal('38.0648115'), Decimal('13.843021'))			Jessica Byrd	sballard@hotmail.com	A-		272-01-5577	2021/02/13	50	Coleman-Durham	628
